;Acanthostrongylophora ingens;Neopetrosia carbonaria;Neopetrosia chaliniformis;Neopetrosia eurystomata;Neopetrosia ovata;Neopetrosia proxima;Neopetrosia rosariensis;Petrosia (Petrosia) aff. elephantotus;Petrosia (Petrosia) elephantotus;Petrosia (Petrosia) lignosa;Petrosia (Petrosia) nigricans;Petrosia (Petrosia) nova spec Curacao;Petrosia (Petrosia) nova spec Lanyu;Petrosia (Petrosia) weinbergi;Petrosia (Strongylophora) corticata;Xestospongia mamillata;Xestospongia muta;Xestospongia nova spec Lanyu;Xestospongia testudinaria;Xestospongia vansoesti;Xestospongia viridenigra;
Acanthostrongylophora ingens;1;0,008335318;1;0,054435321;0,135746606;0,067873303;1;0,000155316;0,923076923;1;1;1;1;0,000649505;1;1;0,268489137;0,001428912;1;1;0,022624434;ab
Neopetrosia carbonaria;0,008335318;1;1;0,005417957;0,53030303;0,53030303;1;1;1;1;1;1;0,456876457;1;0,244755245;1;0,000124783;1;0,000472957;1;1;cde
Neopetrosia chaliniformis;1;1;1;0,705882353;1;1;1;1;1;1;1;1;1;0,41958042;1;1;0,477453581;0,587412587;1;1;1;abcde
Neopetrosia eurystomata;0,054435321;0,005417957;0,705882353;1;1;1;0,75;8,08E-05;0,75;0,75;0,75;1;0,008255934;0,000367112;1;1;1;0,000844357;1;1;0,015479876;a
Neopetrosia ovata;0,135746606;0,53030303;1;1;1;1;1;0,067873303;1;1;1;1;0,326340326;0,13986014;1;1;1;0,20979021;0,656126482;1;0,909090909;abcde
Neopetrosia proxima;0,067873303;0,53030303;1;1;1;1;1;0,067873303;1;1;1;1;0,326340326;0,13986014;1;1;1;0,20979021;0,656126482;1;0,909090909;abcde
Neopetrosia rosariensis;1;1;1;0,75;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;abcde
Petrosia (Petrosia) aff. elephantotus;0,000155316;1;1;8,08E-05;0,067873303;0,067873303;1;1;1;0,923076923;1;0,923076923;0,860204811;0,043516855;0,429864253;0,923076923;2,27E-07;0,274351036;3,72E-06;1;1;cd
Petrosia (Petrosia) elephantotus;0,923076923;1;1;0,75;1;1;1;1;1;1;1;1;1;1;1;1;0,128205128;1;0,4743083;1;1;abcde
Petrosia (Petrosia) lignosa;1;1;1;0,75;1;1;1;0,923076923;1;1;1;1;1;1;1;1;1;1;1;1;1;abcde
Petrosia (Petrosia) nigricans;1;1;1;0,75;1;1;1;1;1;1;1;1;1;1;1;1;0,512820513;1;0,948616601;1;1;abcde
Petrosia (Petrosia) nova spec Curacao;1;1;1;1;1;1;1;0,923076923;1;1;1;1;1;1;1;1;1;1;1;1;1;abcde
Petrosia (Petrosia) nova spec Lanyu;1;0,456876457;1;0,008255934;0,326340326;0,326340326;1;0,860204811;1;1;1;1;1;0,01919649;1;1;0,063495397;0,034553682;0,66632884;1;0,559440559;bc
Petrosia (Petrosia) weinbergi;0,000649505;1;0,41958042;0,000367112;0,13986014;0,13986014;1;0,043516855;1;1;1;1;0,01919649;1;0,052447552;1;2,29E-06;1;1,40E-05;0,054558445;1;e
Petrosia (Strongylophora) corticata;1;0,244755245;1;1;1;1;1;0,429864253;1;1;1;1;1;0,052447552;1;1;1;0,083916084;1;1;0,454545455;abcde
Xestospongia mamillata;1;1;1;1;1;1;1;0,923076923;1;1;1;1;1;1;1;1;1;1;1;1;1;abcde
Xestospongia muta;0,268489137;0,000124783;0,477453581;1;1;1;1;2,27E-07;0,128205128;1;0,512820513;1;0,063495397;2,29E-06;1;1;1;8,01E-06;1;1;0,000570434;ab
Xestospongia nova spec Lanyu;0,001428912;1;0,587412587;0,000844357;0,20979021;0,20979021;1;0,274351036;1;1;1;1;0,034553682;1;0,083916084;1;8,01E-06;1;4,19E-05;0,164129988;1;de
Xestospongia testudinaria;1;0,000472957;1;1;0,656126482;0,656126482;1;3,72E-06;0,4743083;1;0,948616601;1;0,66632884;1,40E-05;1;1;1;4,19E-05;1;1;0,001824263;ab
Xestospongia vansoesti;1;1;1;1;1;1;1;1;1;1;1;1;1;0,054558445;1;1;1;0,164129988;1;1;1;abcde
Xestospongia viridenigra;0,022624434;1;1;0,015479876;0,909090909;0,909090909;1;1;1;1;1;1;0,559440559;1;0,454545455;1;0,000570434;1;0,001824263;1;1;cde
